Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disoder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,22.36%,$0.00,$0.00,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$100,3.94%,$75.51,$45.85,$0.01,0,$0.00,0,$0.41,0.005,$0.25,0.004,$0.06,0.001,$0.00,0,$0.00,0,$0.07,0.003,$0.57,0.018,$0.25,0.022,$0.07,0.002,$0.06,0.002,$0.01,0,$0.00,0,$0.00,0,$1.53,0.064,0,0,$3.18,0.339,$1.01,0.03,$0.19,0.005,$0.00,0,$0.00,0,$0.06,0.001,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.07,0.002,$0.02,0.001,$0.23,0.021,$0.06,0.006,$1.46,0.058,0,0,0,0,0,0,0,0,0,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$200,4.39%,$147.14,$152.68,$0.03,0,$0.01,0,$6.11,0.052,$2.22,0.021,$0.47,0.007,$0.01,0,$0.00,0,$0.19,0.007,$2.42,0.061,$1.06,0.081,$0.33,0.007,$0.28,0.006,$0.03,0.001,$0.02,0,$0.00,0,$7.70,0.146,0.001,0,$6.87,0.587,$2.10,0.06,$0.28,0.006,$0.00,0,$0.00,0.001,$0.47,0.006,$0.00,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.19,0.006,$0.09,0.004,$0.97,0.077,$0.12,0.011,$7.58,0.135,0,0,0,0,0,0,0,0,0,0,$0.35,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$300,4.45%,$214.20,$249.48,$0.20,0.001,$0.01,0,$15.16,0.114,$5.17,0.043,$1.00,0.013,$0.05,0,$0.00,0,$0.40,0.013,$5.05,0.129,$2.58,0.189,$0.87,0.014,$0.68,0.011,$0.09,0.002,$0.10,0,$0.00,0,$14.79,0.233,0,0,$10.70,0.824,$3.56,0.103,$0.43,0.009,$0.00,0,$0.01,0.001,$0.99,0.013,$0.00,0,$0.05,0,$0.00,0,$0.00,0,$0.01,0,$0.39,0.013,$0.28,0.011,$2.30,0.177,$0.24,0.02,$14.55,0.213,0,0,0,0,0,0,0,0,0,0,$2.09,0.02,$0.13,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$400,3.95%,$277.05,$349.07,$0.42,0.001,$0.02,0,$23.30,0.167,$8.60,0.067,$1.70,0.021,$0.07,0,$0.00,0,$0.64,0.021,$7.89,0.201,$4.49,0.313,$1.71,0.025,$1.29,0.02,$0.16,0.003,$0.25,0,$0.00,0,$21.72,0.315,0.001,0,$14.73,1.057,$5.19,0.14,$0.50,0.01,$0.00,0,$0.02,0.001,$1.68,0.02,$0.00,0,$0.07,0,$0.00,0,$0.00,0,$0.02,0,$0.61,0.02,$0.50,0.021,$3.99,0.292,$0.36,0.029,$21.36,0.287,0,0,0,0,0,0,0,0,0,0,$4.33,0.04,$0.53,0.01,$0.04,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$500,3.64%,$336.10,$448.89,$0.86,0.002,$0.03,0,$31.76,0.221,$11.87,0.093,$2.57,0.032,$0.15,0.001,$0.00,0,$0.96,0.032,$11.02,0.281,$6.70,0.442,$3.10,0.042,$2.27,0.032,$0.28,0.005,$0.55,0,$0.00,0,$28.41,0.393,0.001,0,$18.86,1.286,$6.79,0.177,$0.61,0.011,$0.01,0,$0.03,0.001,$2.54,0.03,$0.01,0,$0.14,0.001,$0.00,0,$0.00,0,$0.03,0.001,$0.93,0.031,$0.96,0.035,$5.74,0.407,$0.56,0.041,$27.85,0.352,0,0,0,0,0,0,0,0,0,0,$7.24,0.06,$1.24,0.01,$0.12,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$600,3.28%,$391.71,$549.56,$1.34,0.003,$0.04,0,$39.78,0.27,$15.06,0.116,$3.31,0.041,$0.32,0.001,$0.00,0,$1.26,0.04,$14.69,0.36,$9.02,0.574,$4.75,0.058,$3.26,0.044,$0.40,0.007,$1.09,0.01,$0.00,0,$34.78,0.473,0,0,$22.85,1.501,$8.33,0.203,$0.71,0.012,$0.01,0,$0.04,0.001,$3.27,0.039,$0.02,0,$0.30,0.001,$0.00,0,$0.00,0,$0.05,0.001,$1.21,0.039,$1.44,0.05,$7.58,0.525,$0.95,0.058,$33.84,0.415,0,0,0,0,0,0,0,0,0,0,$10.58,0.08,$2.17,0.02,$0.33,0,$0.05,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$700,2.91%,$444.23,$649.23,$2.01,0.004,$0.06,0,$46.89,0.314,$18.20,0.137,$4.15,0.049,$0.48,0.002,$0.00,0,$1.62,0.05,$18.02,0.432,$11.22,0.691,$6.38,0.075,$4.35,0.056,$0.55,0.009,$1.48,0.01,$0.00,0,$40.74,0.547,0,0,$26.86,1.701,$9.88,0.232,$0.87,0.014,$0.01,0,$0.06,0.002,$4.09,0.048,$0.03,0,$0.46,0.002,$0.00,0,$0.00,0,$0.10,0.002,$1.52,0.048,$1.85,0.06,$9.37,0.63,$1.28,0.071,$39.46,0.476,0,0,0,0,0,0,0,0,0,0,$13.71,0.11,$3.27,0.03,$0.63,0.01,$0.12,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$800,2.64%,$493.95,$748.71,$2.74,0.006,$0.08,0,$53.68,0.354,$21.40,0.16,$5.07,0.059,$0.65,0.002,$0.01,0,$1.97,0.06,$21.21,0.501,$13.44,0.805,$8.34,0.093,$5.54,0.07,$0.71,0.01,$2.09,0.01,$0.00,0,$45.86,0.612,0,0,$30.98,1.906,$11.50,0.257,$1.06,0.015,$0.01,0,$0.07,0.002,$5.00,0.058,$0.04,0,$0.60,0.002,$0.00,0,$0.01,0,$0.14,0.002,$1.83,0.058,$2.40,0.073,$11.04,0.732,$1.49,0.083,$44.36,0.529,0,0,0,0,0,0,0,0,0,0,$16.86,0.13,$4.48,0.04,$1.00,0.01,$0.23,0,$0.05,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
$900,2.42%,$541.16,$849.27,$3.82,0.007,$0.15,0,$60.11,0.393,$24.24,0.179,$5.96,0.07,$0.92,0.003,$0.01,0,$2.41,0.073,$24.24,0.567,$15.85,0.919,$10.31,0.112,$6.79,0.083,$0.86,0.012,$2.66,0.02,$0.00,0,$50.83,0.676,0,0,$35.18,2.111,$13.16,0.288,$1.23,0.017,$0.02,0,$0.09,0.003,$5.87,0.067,$0.05,0,$0.87,0.003,$0.00,0,$0.01,0,$0.16,0.002,$2.25,0.07,$3.06,0.088,$12.79,0.83,$1.81,0.096,$49.02,0.579,0,0,0,0,0,0,0,0,0,0,$20.12,0.15,$5.78,0.05,$1.47,0.01,$0.38,0,$0.10,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
