Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disorder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,14.59%,$0.00,$0.00,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$100,2.91%,$83.84,$46.01,$0.01,0,$0.00,0,$0.50,0.007,$0.26,0.004,$0.07,0.002,$0.00,0,$0.00,0,$0.04,0.002,$0.55,0.018,$0.27,0.026,$0.09,0.003,$0.08,0.002,$0.00,0,$0.01,0,$0.00,0,$1.53,0.058,0,0,$3.37,0.373,$1.39,0.04,$0.18,0.004,$0.00,0,$0.00,0,$0.07,0.002,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.04,0.002,$0.04,0.003,$0.23,0.023,$0.01,0.005,$1.52,0.053,0,0,0,0,0,0,0,0,0,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$200,3.22%,$164.81,$152.75,$0.06,0,$0.02,0,$6.92,0.06,$2.92,0.029,$0.49,0.008,$0.03,0,$0.00,0,$0.24,0.008,$2.23,0.06,$1.15,0.092,$0.40,0.01,$0.30,0.008,$0.04,0.001,$0.06,0,$0.00,0,$6.71,0.135,0.002,0,$7.52,0.648,$2.84,0.08,$0.27,0.006,$0.01,0,$0.01,0,$0.48,0.007,$0.00,0,$0.03,0,$0.00,0,$0.00,0,$0.00,0,$0.24,0.008,$0.13,0.007,$1.01,0.084,$0.06,0.011,$6.65,0.124,0,0,0,0,0,0,0.001,0.001,0.001,0.001,$0.40,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$300,3.51%,$242.30,$248.91,$0.22,0.001,$0.03,0,$17.45,0.132,$6.66,0.057,$1.12,0.016,$0.08,0.001,$0.00,0,$0.56,0.018,$4.55,0.128,$2.74,0.205,$1.19,0.022,$0.84,0.017,$0.11,0.003,$0.24,0,$0.00,0,$13.28,0.213,0.002,0,$12.10,0.926,$4.23,0.118,$0.33,0.007,$0.01,0,$0.04,0.001,$1.08,0.015,$0.01,0,$0.07,0.001,$0.00,0,$0.00,0,$0.01,0,$0.55,0.017,$0.34,0.017,$2.39,0.188,$0.12,0.02,$13.16,0.193,0,0,0,0,0,0,0.001,0.001,0.001,0.001,$2.24,0.02,$0.22,0,$0.02,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$400,3.29%,$316.41,$349.37,$0.59,0.002,$0.05,0,$29.06,0.21,$10.56,0.085,$1.92,0.027,$0.13,0.001,$0.00,0,$0.93,0.029,$7.08,0.208,$4.91,0.349,$2.49,0.04,$1.64,0.029,$0.22,0.005,$0.63,0.01,$0.00,0,$19.26,0.292,0.002,0,$17.07,1.209,$5.69,0.152,$0.41,0.008,$0.02,0.001,$0.05,0.002,$1.87,0.025,$0.01,0,$0.12,0.001,$0.00,0,$0.00,0,$0.03,0.001,$0.90,0.028,$0.69,0.032,$4.21,0.316,$0.25,0.035,$19.02,0.257,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,$5.64,0.05,$0.86,0.01,$0.12,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$500,3.09%,$387.33,$449.28,$1.06,0.003,$0.06,0,$40.73,0.285,$14.53,0.114,$2.77,0.036,$0.22,0.002,$0.01,0,$1.33,0.041,$9.79,0.294,$7.43,0.505,$4.29,0.061,$2.74,0.043,$0.37,0.007,$1.18,0.01,$0.00,0,$25.00,0.365,0.002,0,$22.24,1.491,$7.24,0.185,$0.50,0.009,$0.02,0.001,$0.07,0.002,$2.71,0.034,$0.03,0,$0.19,0.002,$0.00,0,$0.01,0,$0.05,0.001,$1.28,0.04,$1.17,0.05,$6.26,0.455,$0.38,0.049,$24.62,0.316,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,$9.94,0.08,$1.93,0.02,$0.33,0,$0.06,0,$0.02,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$600,2.84%,$455.29,$549.42,$1.76,0.005,$0.08,0,$51.63,0.354,$18.46,0.142,$3.74,0.048,$0.34,0.002,$0.01,0,$1.77,0.054,$12.48,0.376,$10.05,0.657,$6.72,0.086,$4.17,0.06,$0.54,0.01,$2.01,0.02,$0.00,0,$30.45,0.436,0.002,0,$27.41,1.756,$8.90,0.218,$0.59,0.01,$0.02,0.001,$0.09,0.003,$3.65,0.044,$0.04,0,$0.30,0.002,$0.00,0,$0.01,0,$0.07,0.002,$1.70,0.052,$1.71,0.068,$8.34,0.589,$0.52,0.065,$29.93,0.371,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$14.56,0.12,$3.33,0.03,$0.65,0.01,$0.13,0,$0.03,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$700,2.68%,$520.50,$649.40,$2.57,0.006,$0.11,0,$62.01,0.419,$22.44,0.168,$4.75,0.059,$0.53,0.003,$0.01,0,$2.25,0.069,$15.25,0.457,$12.83,0.809,$9.55,0.114,$5.79,0.08,$0.75,0.012,$3.01,0.02,$0.00,0,$35.60,0.504,0.002,0,$32.76,2.013,$10.57,0.248,$0.69,0.011,$0.03,0.001,$0.12,0.004,$4.63,0.055,$0.07,0,$0.47,0.003,$0.00,0,$0.01,0,$0.10,0.002,$2.15,0.066,$2.36,0.088,$10.47,0.721,$0.66,0.08,$34.93,0.424,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$19.50,0.15,$5.11,0.05,$1.20,0.01,$0.29,0,$0.08,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
$800,2.45%,$583.14,$749.46,$3.60,0.008,$0.12,0,$71.61,0.478,$26.29,0.195,$5.72,0.07,$0.74,0.004,$0.02,0,$2.76,0.084,$17.92,0.534,$15.58,0.956,$12.58,0.143,$7.57,0.1,$0.96,0.014,$4.05,0.03,$0.00,0,$40.37,0.568,0.002,0,$38.09,2.268,$12.29,0.275,$0.80,0.012,$0.03,0.001,$0.15,0.005,$5.56,0.065,$0.11,0,$0.64,0.004,$0.00,0,$0.02,0,$0.15,0.004,$2.61,0.08,$3.07,0.109,$12.51,0.847,$0.85,0.096,$39.52,0.472,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$24.39,0.19,$7.05,0.06,$1.86,0.02,$0.51,0.01,$0.15,0,$0.05,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0
$900,2.29%,$643.41,$849.30,$4.61,0.01,$0.14,0,$80.45,0.532,$30.24,0.221,$6.79,0.081,$1.05,0.005,$0.02,0.001,$3.33,0.1,$20.51,0.605,$18.37,1.098,$15.86,0.173,$9.50,0.12,$1.18,0.017,$5.18,0.04,$0.00,0,$44.95,0.631,0.002,0,$43.35,2.499,$14.07,0.301,$0.95,0.013,$0.03,0.001,$0.18,0.005,$6.61,0.076,$0.15,0.001,$0.90,0.005,$0.00,0.001,$0.02,0,$0.20,0.005,$3.13,0.094,$3.76,0.129,$14.61,0.969,$1.07,0.112,$43.88,0.519,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$29.13,0.22,$9.11,0.08,$2.64,0.03,$0.79,0.01,$0.27,0,$0.10,0,$0.04,0,$0.02,0,$0.01,0,$0.01,0
