Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disorder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,16.20%,$0.00,$0.00,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$100,3.02%,$82.18,$46.65,$0.01,0,$0.00,0.001,$0.55,0.009,$0.25,0.005,$0.07,0.003,$0.00,0,$0.00,0,$0.06,0.003,$0.52,0.019,$0.25,0.027,$0.09,0.004,$0.07,0.003,$0.00,0,$0.01,0,$0.00,0,$1.66,0.066,0.001,0,$3.30,0.369,$1.25,0.041,$0.15,0.004,$0.00,0,$0.00,0.001,$0.07,0.002,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.05,0.003,$0.03,0.003,$0.22,0.024,$0.02,0.009,$1.64,0.057,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$200,3.26%,$161.41,$152.70,$0.08,0.001,$0.04,0.001,$7.10,0.064,$2.49,0.025,$0.44,0.008,$0.02,0.001,$0.00,0,$0.23,0.01,$2.24,0.064,$1.05,0.093,$0.46,0.012,$0.34,0.009,$0.04,0.001,$0.08,0,$0.00,0,$6.45,0.145,0.002,0,$7.27,0.629,$2.47,0.076,$0.29,0.006,$0.00,0,$0.01,0.001,$0.43,0.007,$0.00,0,$0.02,0,$0.00,0,$0.00,0,$0.01,0.001,$0.22,0.009,$0.12,0.009,$0.94,0.084,$0.11,0.02,$6.34,0.125,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,$0.46,0.01,$0.04,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$300,3.44%,$237.19,$249.30,$0.31,0.002,$0.08,0.001,$17.03,0.136,$5.59,0.048,$0.99,0.016,$0.06,0.001,$0.00,0,$0.54,0.02,$4.48,0.131,$2.55,0.203,$1.29,0.025,$0.89,0.018,$0.10,0.003,$0.30,0,$0.00,0,$12.78,0.224,0.002,0,$11.45,0.885,$3.63,0.107,$0.35,0.007,$0.01,0,$0.02,0.001,$0.97,0.015,$0.01,0,$0.05,0.001,$0.00,0,$0.00,0,$0.03,0.001,$0.51,0.018,$0.31,0.019,$2.24,0.183,$0.20,0.033,$12.58,0.19,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$2.41,0.03,$0.27,0,$0.05,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$400,3.23%,$309.63,$349.44,$0.89,0.003,$0.11,0.001,$27.81,0.211,$8.83,0.073,$1.73,0.026,$0.12,0.001,$0.00,0,$0.87,0.03,$6.90,0.21,$4.65,0.345,$2.54,0.042,$1.70,0.03,$0.20,0.005,$0.64,0.01,$0.00,0,$18.60,0.298,0.002,0,$16.35,1.159,$5.01,0.139,$0.39,0.008,$0.01,0,$0.04,0.002,$1.69,0.024,$0.02,0,$0.10,0.001,$0.00,0,$0.00,0,$0.04,0.002,$0.82,0.028,$0.63,0.034,$4.02,0.311,$0.32,0.046,$18.28,0.253,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$5.64,0.06,$0.93,0.01,$0.16,0,$0.04,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$500,3.04%,$378.93,$449.32,$1.52,0.005,$0.14,0.001,$38.78,0.284,$12.37,0.099,$2.46,0.035,$0.22,0.002,$0.00,0,$1.29,0.044,$9.54,0.296,$7.12,0.5,$4.30,0.062,$2.79,0.044,$0.34,0.007,$1.16,0.01,$0.00,0,$24.29,0.37,0.003,0,$21.39,1.426,$6.40,0.169,$0.47,0.008,$0.01,0,$0.05,0.002,$2.40,0.033,$0.03,0,$0.19,0.002,$0.00,0,$0.00,0,$0.06,0.003,$1.23,0.041,$1.03,0.05,$6.09,0.45,$0.44,0.059,$23.85,0.311,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$9.70,0.09,$1.97,0.02,$0.39,0.01,$0.09,0,$0.03,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
$600,2.83%,$445.30,$549.23,$2.45,0.007,$0.16,0.001,$49.22,0.354,$16.00,0.125,$3.26,0.044,$0.37,0.003,$0.01,0,$1.77,0.058,$12.23,0.38,$9.75,0.657,$6.62,0.087,$4.25,0.061,$0.50,0.009,$1.87,0.02,$0.00,0,$29.60,0.438,0.003,0,$26.37,1.673,$7.88,0.196,$0.55,0.009,$0.02,0.001,$0.08,0.003,$3.18,0.041,$0.06,0,$0.32,0.003,$0.00,0,$0.01,0,$0.09,0.003,$1.68,0.054,$1.51,0.067,$8.24,0.59,$0.60,0.074,$29.00,0.364,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$14.19,0.12,$3.41,0.04,$0.77,0.01,$0.20,0,$0.07,0,$0.03,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0
$700,2.62%,$508.94,$649.11,$3.31,0.009,$0.19,0.001,$58.90,0.417,$19.57,0.15,$4.13,0.054,$0.56,0.004,$0.01,0,$2.32,0.073,$15.04,0.463,$12.35,0.804,$9.28,0.114,$5.91,0.08,$0.70,0.011,$2.67,0.02,$0.00,0,$34.92,0.506,0.003,0,$31.37,1.913,$9.50,0.223,$0.68,0.01,$0.02,0.001,$0.10,0.003,$4.03,0.051,$0.10,0.001,$0.46,0.003,$0.00,0,$0.01,0,$0.13,0.004,$2.18,0.069,$2.00,0.084,$10.34,0.72,$0.79,0.09,$34.12,0.416,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$18.75,0.16,$5.03,0.05,$1.26,0.02,$0.35,0.01,$0.13,0,$0.05,0,$0.02,0,$0.01,0,$0.01,0,$0.00,0
$800,2.40%,$570.08,$749.19,$4.42,0.01,$0.23,0.001,$68.00,0.476,$23.11,0.174,$5.07,0.065,$0.78,0.005,$0.03,0.001,$2.85,0.089,$17.77,0.542,$14.95,0.947,$12.30,0.143,$7.70,0.1,$0.94,0.014,$3.67,0.03,$0.00,0,$39.60,0.568,0.003,0,$36.25,2.138,$11.12,0.248,$0.83,0.011,$0.03,0.001,$0.13,0.004,$4.94,0.061,$0.12,0.001,$0.65,0.004,$0.00,0,$0.02,0.001,$0.19,0.006,$2.66,0.083,$2.51,0.102,$12.44,0.846,$0.97,0.104,$38.63,0.464,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,$23.43,0.19,$6.93,0.07,$1.94,0.02,$0.59,0.01,$0.21,0,$0.08,0,$0.03,0,$0.02,0,$0.01,0,$0.01,0
$900,2.23%,$628.90,$848.94,$5.66,0.012,$0.25,0.001,$76.36,0.53,$26.77,0.199,$5.95,0.075,$1.08,0.007,$0.03,0.001,$3.41,0.106,$20.33,0.614,$17.64,1.086,$15.32,0.171,$9.49,0.119,$1.16,0.016,$4.67,0.03,$0.00,0,$44.14,0.629,0.003,0,$41.19,2.354,$12.80,0.273,$0.98,0.012,$0.03,0.001,$0.15,0.005,$5.80,0.07,$0.17,0.001,$0.91,0.006,$0.00,0,$0.02,0.001,$0.23,0.007,$3.18,0.098,$3.11,0.12,$14.53,0.965,$1.16,0.119,$42.98,0.509,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,$27.93,0.22,$8.92,0.08,$2.70,0.03,$0.89,0.01,$0.32,0,$0.13,0,$0.05,0,$0.02,0,$0.01,0,$0.01,0
