Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disorder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,15.49%,$0.00,$0.00,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$100,3.15%,$82.83,$46.72,$0.01,0,$0.00,0,$0.48,0.006,$0.30,0.005,$0.07,0.002,$0.00,0,$0.00,0,$0.04,0.001,$0.57,0.017,$0.23,0.02,$0.08,0.003,$0.07,0.002,$0.01,0,$0.01,0,$0.00,0,$1.83,0.077,0,0,$3.19,0.335,$1.38,0.037,$0.22,0.005,$0.00,0,$0.00,0,$0.07,0.001,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.04,0.001,$0.02,0.002,$0.20,0.018,$0.01,0.009,$1.82,0.068,0,0,0,0,0,0,0,0,0,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$200,3.51%,$162.52,$152.44,$0.05,0,$0.01,0,$7.29,0.06,$3.16,0.029,$0.52,0.007,$0.01,0,$0.00,0,$0.24,0.008,$2.37,0.055,$1.10,0.079,$0.43,0.008,$0.31,0.007,$0.05,0.001,$0.07,0,$0.00,0,$6.98,0.156,0,0,$6.95,0.583,$2.79,0.078,$0.35,0.008,$0.00,0,$0.01,0,$0.52,0.007,$0.00,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.24,0.007,$0.13,0.006,$0.96,0.073,$0.05,0.013,$6.93,0.143,0,0,0,0,0,0,0,0,0,0,$0.40,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$300,3.79%,$238.46,$249.73,$0.20,0.001,$0.02,0,$18.42,0.133,$7.52,0.06,$1.26,0.015,$0.02,0,$0.00,0,$0.52,0.016,$4.68,0.113,$2.67,0.177,$1.26,0.02,$0.84,0.015,$0.13,0.003,$0.28,0,$0.00,0,$13.28,0.235,0,0,$11.06,0.833,$4.10,0.112,$0.42,0.009,$0.01,0,$0.02,0.001,$1.24,0.015,$0.00,0,$0.02,0,$0.00,0,$0.00,0,$0.00,0,$0.52,0.016,$0.34,0.014,$2.32,0.163,$0.12,0.021,$13.16,0.214,0,0,0,0,0,0,0,0,0,0,$2.27,0.02,$0.17,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$400,3.45%,$310.77,$349.44,$0.47,0.002,$0.03,0,$30.46,0.207,$11.85,0.09,$2.12,0.025,$0.06,0,$0.00,0,$0.84,0.025,$7.17,0.18,$4.74,0.297,$2.46,0.035,$1.60,0.025,$0.25,0.004,$0.60,0.01,$0.00,0,$18.66,0.306,0,0,$15.57,1.077,$5.49,0.142,$0.48,0.01,$0.01,0,$0.03,0.001,$2.09,0.024,$0.00,0,$0.06,0,$0.00,0,$0.00,0,$0.01,0,$0.82,0.025,$0.69,0.028,$4.05,0.269,$0.21,0.031,$18.45,0.275,0,0,0,0,0,0,0,0,0,0,$5.48,0.05,$0.69,0.01,$0.07,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$500,3.25%,$379.75,$449.89,$0.87,0.003,$0.04,0,$42.46,0.278,$16.22,0.119,$3.09,0.035,$0.11,0.001,$0.01,0,$1.18,0.035,$9.90,0.251,$7.11,0.425,$4.24,0.053,$2.68,0.038,$0.41,0.006,$1.16,0.01,$0.00,0,$23.95,0.377,0,0,$20.21,1.325,$6.93,0.172,$0.57,0.011,$0.01,0,$0.05,0.001,$3.04,0.034,$0.00,0,$0.11,0.001,$0.00,0,$0.01,0,$0.03,0.001,$1.15,0.034,$1.17,0.044,$5.94,0.381,$0.34,0.044,$23.61,0.333,0,0,0,0,0,0,0,0,0,0,$9.62,0.08,$1.69,0.02,$0.23,0,$0.02,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$600,2.99%,$445.59,$549.29,$1.28,0.003,$0.06,0,$53.77,0.342,$20.56,0.147,$4.14,0.046,$0.20,0.001,$0.01,0,$1.63,0.047,$12.52,0.318,$9.55,0.55,$6.60,0.076,$4.07,0.053,$0.61,0.009,$1.92,0.01,$0.00,0,$28.88,0.444,0,0,$25.05,1.573,$8.49,0.201,$0.67,0.012,$0.02,0.001,$0.09,0.002,$4.06,0.044,$0.01,0,$0.19,0.001,$0.00,0,$0.01,0,$0.05,0.001,$1.58,0.046,$1.73,0.062,$7.81,0.488,$0.48,0.058,$28.40,0.386,0,0,0,0,0,0,0,0,0,0,$14.09,0.11,$2.98,0.03,$0.52,0.01,$0.08,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$700,2.78%,$508.54,$649.28,$1.98,0.005,$0.07,0,$64.20,0.402,$24.95,0.175,$5.14,0.056,$0.32,0.002,$0.01,0,$2.11,0.06,$15.30,0.384,$12.10,0.674,$9.35,0.101,$5.61,0.07,$0.83,0.011,$2.91,0.02,$0.00,0,$33.76,0.51,0,0,$29.80,1.808,$10.12,0.229,$0.79,0.013,$0.02,0.001,$0.12,0.003,$5.02,0.054,$0.02,0,$0.30,0.001,$0.00,0,$0.01,0,$0.08,0.001,$2.03,0.059,$2.38,0.08,$9.72,0.594,$0.66,0.073,$33.10,0.437,0,0,0,0,0,0,0,0,0,0,$18.72,0.14,$4.56,0.04,$0.96,0.01,$0.20,0,$0.05,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$800,2.59%,$568.80,$749.15,$2.80,0.006,$0.09,0,$74.00,0.456,$29.20,0.202,$6.24,0.068,$0.47,0.002,$0.01,0,$2.59,0.073,$18.12,0.449,$14.74,0.797,$12.40,0.127,$7.32,0.087,$1.10,0.014,$3.98,0.03,$0.00,0,$38.26,0.572,0,0,$34.68,2.039,$11.76,0.256,$0.88,0.014,$0.03,0.001,$0.14,0.003,$6.10,0.065,$0.05,0,$0.42,0.002,$0.00,0,$0.01,0,$0.11,0.002,$2.48,0.071,$3.06,0.099,$11.68,0.697,$0.83,0.087,$37.43,0.484,0,0,0,0,0,0,0,0,0,0,$23.47,0.17,$6.32,0.05,$1.50,0.01,$0.36,0,$0.09,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
$900,2.36%,$626.59,$849.49,$3.78,0.008,$0.10,0,$82.99,0.506,$33.27,0.227,$7.38,0.08,$0.70,0.003,$0.02,0,$3.09,0.087,$20.68,0.509,$17.31,0.911,$15.71,0.155,$9.10,0.106,$1.39,0.016,$5.22,0.03,$0.00,0,$42.44,0.628,0,0,$39.39,2.257,$13.50,0.282,$1.01,0.015,$0.03,0.001,$0.18,0.004,$7.19,0.076,$0.09,0,$0.61,0.002,$0.00,0,$0.02,0,$0.14,0.003,$2.95,0.084,$3.72,0.117,$13.59,0.794,$1.00,0.102,$41.44,0.527,0,0,0,0,0,0,0,0,0,0,$28.08,0.2,$8.16,0.06,$2.15,0.02,$0.58,0.01,$0.17,0,$0.05,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
