id,carrier_name,name,level,plan_type,hsa_eligible,infertility_treatment_rider,individual_medical_deductible_in_network,individual_medical_deductible_out_of_network,family_medical_deductible_in_network,family_medical_deductible_out_of_network,individual_medical_moop_in_network,individual_medical_moop_out_of_network,family_medical_moop_in_network,family_medical_moop_out_of_network,coinsurance_in_network,coinsurance_out_of_network
20523CA0030427,Aetna,CA Gold HMO AVN $35/55 250 wINF,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0030551,Aetna,CA Platinum HMO AVN $20/30 0 wINF,platinum,HMO,False,True,0,,0,,4500,,9000,,,
20523CA0030698,Aetna,CA Bronze HMO Basic $65/95 6300 wINF,expanded_bronze,HMO,False,True,6300,,12600,,8200,,16400,,40,
20523CA0030825,Aetna,CA Bronze HMO Basic $75/125 7900,expanded_bronze,HMO,False,True,7900,,15800,,7900,,15800,,,
20523CA0030881,Aetna,CA Bronze HMO AVN $75/125 7900,expanded_bronze,HMO,False,True,7900,,15800,,7900,,15800,,,
20523CA0031072,Aetna,CA Silver HMO AVN $55/90 2500 wINF,silver,HMO,False,True,2500,,5000,,8750,,17500,,35,
20523CA0031138,Aetna,CA Gold HMO AVN $25/50 500,gold,HMO,False,True,500,,1000,,7800,,15600,,20,
20523CA0031164,Aetna,CA Gold HMO Basic $25/50 500,gold,HMO,False,True,500,,1000,,7800,,15600,,20,
20523CA0031199,Aetna,CA Silver HMO AVN $60/100 2500,silver,HMO,False,True,2500,,5000,,9100,,18200,,35,
20523CA0031225,Aetna,CA Silver HMO Basic $60/100 2500,silver,HMO,False,True,2500,,5000,,9100,,18200,,35,
20523CA0031253,Aetna,CA Bronze HMO $75/125 7900,expanded_bronze,HMO,False,True,7900,,15800,,7900,,15800,,0,
20523CA0031254,Aetna,CA Gold HMO $25/50 500,gold,HMO,False,True,500,,1000,,7800,,15600,,20,
20523CA0031255,Aetna,CA Gold HMO $30/60 0,gold,HMO,False,True,0,,0,,7000,,14000,,20,
20523CA0031256,Aetna,CA Gold HMO AVN $30/60 0,gold,HMO,False,True,0,,0,,7000,,14000,,,
20523CA0031258,Aetna,CA Gold HMO Basic $30/60 0,gold,HMO,False,True,0,,0,,7000,,14000,,,
20523CA0031260,Aetna,CA Silver HMO $60/100 2500,silver,HMO,False,True,2500,,5000,,9100,,18200,,35,
20523CA0031362,Aetna,CA Bronze HMO Basic $65/95 6300 M,expanded_bronze,HMO,False,True,6300,,12600,,8200,,16400,,40,
20523CA0031372,Aetna,CA Gold HMO AVN $35/55 250 M,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0031423,Aetna,CA Platinum HMO AVN $20/30 0 M,platinum,HMO,False,True,0,,0,,4500,,9000,,,
20523CA0031474,Aetna,CA Silver HMO AVN $55/90 2500 M,silver,HMO,False,True,2500,,5000,,8750,,17500,,35,
20523CA0031542,Aetna,CA Bronze HMO $75/125 7900 wINF,expanded_bronze,HMO,False,True,7900,,15800,,7900,,15800,,0,
20523CA0031562,Aetna,CA Bronze HMO AVN $75/125 7900 wINF,expanded_bronze,HMO,False,True,7900,,15800,,7900,,15800,,,
20523CA0031589,Aetna,CA Bronze HMO Basic $75/125 7900 wINF,expanded_bronze,HMO,False,True,7900,,15800,,7900,,15800,,,
20523CA0031616,Aetna,CA Gold HMO $25/50 500 wINF,gold,HMO,False,True,500,,1000,,7800,,15600,,20,
20523CA0031653,Aetna,CA Gold HMO $30/60 0 wINF,gold,HMO,False,True,0,,0,,7000,,14000,,20,
20523CA0031672,Aetna,CA Gold HMO $30/70 1250,gold,HMO,False,True,1250,,2500,,7800,,15600,,30,
20523CA0031691,Aetna,CA Gold HMO $30/70 1250 wINF,gold,HMO,False,True,1250,,2500,,7800,,15600,,30,
20523CA0031710,Aetna,CA Gold HMO $35/65 250,gold,HMO,False,True,250,,500,,7800,,15600,,0,
20523CA0031729,Aetna,CA Gold HMO $35/65 250 wINF,gold,HMO,False,True,250,,500,,7800,,15600,,0,
20523CA0031749,Aetna,CA Gold HMO AVN $25/50 500 wINF,gold,HMO,False,True,500,,1000,,7800,,15600,,20,
20523CA0031767,Aetna,CA Gold HMO AVN $30/60 0 wINF,gold,HMO,False,True,0,,0,,7000,,14000,,,
20523CA0031784,Aetna,CA Gold HMO AVN $30/70 1250,gold,HMO,False,True,1250,,2500,,7800,,15600,,30,
20523CA0031801,Aetna,CA Gold HMO AVN $30/70 1250 wINF,gold,HMO,False,True,1250,,2500,,7800,,15600,,30,
20523CA0031820,Aetna,CA Gold HMO AVN $35/65 250,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0031837,Aetna,CA Gold HMO AVN $35/65 250 wINF,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0031910,Aetna,CA Gold HMO Basic $25/50 500 wINF,gold,HMO,False,True,500,,1000,,7800,,15600,,20,
20523CA0031919,Aetna,CA Gold HMO Basic $30/60 0 wINF,gold,HMO,False,True,0,,0,,7000,,14000,,,
20523CA0031928,Aetna,CA Gold HMO Basic $30/70 1250,gold,HMO,False,True,1250,,2500,,7800,,15600,,30,
20523CA0031937,Aetna,CA Gold HMO Basic $30/70 1250 wINF,gold,HMO,False,True,1250,,2500,,7800,,15600,,30,
20523CA0031946,Aetna,CA Gold HMO Basic $35/65 250,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0031955,Aetna,CA Gold HMO Basic $35/65 250 wINF,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0031964,Aetna,CA Platinum HMO $20/40 0,platinum,HMO,False,True,0,,0,,3500,,7000,,10,
20523CA0031983,Aetna,CA Platinum HMO $20/40 0 wINF,platinum,HMO,False,True,0,,0,,3500,,7000,,10,
20523CA0032004,Aetna,CA Platinum HMO AVN $20/40 0,platinum,HMO,False,True,0,,0,,3500,,7000,,,
20523CA0032021,Aetna,CA Platinum HMO AVN $20/40 0 wINF,platinum,HMO,False,True,0,,0,,3500,,7000,,,
