id,carrier_name,name,level,plan_type,individual_medical_deductible,family_medical_deductible,individual_medical_moop,family_medical_moop,plan_coinsurance,hsa_eligible,infertility_treatment_rider,individual_drug_deductible,family_drug_deductible,primary_care_physician,network_size,individual_medical_deductible_in_network,individual_medical_deductible_out_of_network,family_medical_deductible_in_network,family_medical_deductible_out_of_network,individual_medical_moop_in_network,individual_medical_moop_out_of_network,family_medical_moop_in_network,family_medical_moop_out_of_network,coinsurance_in_network,coinsurance_out_of_network,individual_drug_deductible_in_network,family_drug_deductible_in_network,primary_care_physician_in_network_cleaned,primary_care_physician_out_of_network_cleaned,pcp_cleaned_dollar_values_in_network,pcp_cleaned_percentages_in_network,pcp_initial_visits_in_network,pcp_after_deductible_in_network,pcp_cleaned_dollar_values_out_of_network,pcp_cleaned_percentages_out_of_network,pcp_initial_visits_out_of_network,pcp_after_deductible_out_of_network
27603CA1221345,Anthem,Anthem Bronze PPO 40/6200/40%,bronze,PPO,"In-Network: $6,200 / Out-of-Network: $12,400","In-Network: $12,400 / Out-of-Network: $24,800","In-Network: $8,700 / Out-of-Network: $17,400","In-Network: $17,400 / Out-of-Network: $34,800",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $40 after deductible / Out-of-Network: 50% after deductible,90424,6200,12400,12400,24800,8700,17400,17400,34800,40,50,0,0,$40 after deductible,50% after deductible,[40.0],[],0,True,[],[50.0],0,True
27603CA1221187,Anthem,Anthem Bronze PPO 4600/50%,bronze,PPO,"In-Network: $4,600 / Out-of-Network: $9,200","In-Network: $9,200 / Out-of-Network: $18,400","In-Network: $8,100 / Out-of-Network: $16,200","In-Network: $16,200 / Out-of-Network: $32,400",In-Network: 50% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 50% after deductible / Out-of-Network: 50% after deductible,90424,4600,9200,9200,18400,8100,16200,16200,32400,50,50,0,0,50% after deductible,50% after deductible,[],[50.0],0,True,[],[50.0],0,True
27603CA1221364,Anthem,Anthem Bronze PPO 60/6850/40%,bronze,PPO,"In-Network: $6,850 / Out-of-Network: $13,700","In-Network: $13,700 / Out-of-Network: $27,400","In-Network: $8,200 / Out-of-Network: $16,400","In-Network: $16,400 / Out-of-Network: $32,800",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: $650 / Out-of-Network: Not Covered,"In-Network: $1,300 / Out-of-Network: Not Covered",In-Network: $60 after deductible / Out-of-Network: 50% after deductible,90424,6850,13700,13700,27400,8200,16400,16400,32800,40,50,650,1300,$60 after deductible,50% after deductible,[60.0],[],0,True,[],[50.0],0,True
27603CA1220386,Anthem,Anthem Bronze PPO 6000/45% w/HSA PrevRx,bronze,PPO,"In-Network: $6,000 / Out-of-Network: $12,000","In-Network: $12,000 / Out-of-Network: $24,000","In-Network: $7,400 / Out-of-Network: $14,800","In-Network: $14,800 / Out-of-Network: $29,600",In-Network: 45% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 45% after deductible / Out-of-Network: 50% after deductible,90424,6000,12000,12000,24000,7400,14800,14800,29600,45,50,0,0,45% after deductible,50% after deductible,[],[45.0],0,True,[],[50.0],0,True
27603CA1221497,Anthem,Anthem Bronze PPO 6000/45% w/HSA PrevRx WH,bronze,PPO,"In-Network: $6,000 / Out-of-Network: $12,000","In-Network: $12,000 / Out-of-Network: $24,000","In-Network: $7,400 / Out-of-Network: $14,800","In-Network: $14,800 / Out-of-Network: $29,600",In-Network: 45% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: 45% after deductible / Out-of-Network: 50% after deductible,90424,6000,12000,12000,24000,7400,14800,14800,29600,45,50,0,0,45% after deductible,50% after deductible,[],[45.0],0,True,[],[50.0],0,True
27603CA1220264,Anthem,Anthem Bronze PPO 6700/0% w/HSA PrevRx,bronze,PPO,"In-Network: $6,700 / Out-of-Network: $13,400","In-Network: $13,400 / Out-of-Network: $26,800","In-Network: $7,800 / Out-of-Network: $19,500","In-Network: $15,600 / Out-of-Network: $39,000",In-Network: 0% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: 50% after deductible,90424,6700,13400,13400,26800,7800,19500,15600,39000,0,50,0,0,$0 after deductible,50% after deductible,[0.0],[],0,True,[],[50.0],0,True
27603CA1221516,Anthem,Anthem Bronze PPO 6700/0% w/HSA PrevRx WH,bronze,PPO,"In-Network: $6,700 / Out-of-Network: $13,400","In-Network: $13,400 / Out-of-Network: $26,800","In-Network: $7,800 / Out-of-Network: $19,500","In-Network: $15,600 / Out-of-Network: $39,000",In-Network: 0% / Out-of-Network: 50%,True,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $0 after deductible / Out-of-Network: 50% after deductible,90424,6700,13400,13400,26800,7800,19500,15600,39000,0,50,0,0,$0 after deductible,50% after deductible,[0.0],[],0,True,[],[50.0],0,True
27603CA1221383,Anthem,Anthem Bronze PPO 70/6600/35%,bronze,PPO,"In-Network: $6,600 / Out-of-Network: $13,200","In-Network: $13,200 / Out-of-Network: $26,400","In-Network: $8,900 / Out-of-Network: $17,800","In-Network: $17,800 / Out-of-Network: $35,600",In-Network: 35% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $70 after deductible / Out-of-Network: 50% after deductible,90424,6600,13200,13200,26400,8900,17800,17800,35600,35,50,0,0,$70 after deductible,50% after deductible,[70.0],[],0,True,[],[50.0],0,True
27603CA1221534,Anthem,Anthem Bronze PPO 75/7300/40%,bronze,PPO,"In-Network: $7,300 / Out-of-Network: $14,600","In-Network: $14,600 / Out-of-Network: $29,200","In-Network: $9,100 / Out-of-Network: $18,200","In-Network: $18,200 / Out-of-Network: $36,400",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: $650 / Out-of-Network: Not Covered,"In-Network: $1,300 / Out-of-Network: Not Covered",In-Network: $75 / Out-of-Network: 50% after deductible,90424,7300,14600,14600,29200,9100,18200,18200,36400,40,50,650,1300,$75,50% after deductible,[75.0],[],0,False,[],[50.0],0,True
27603CA1221331,Anthem,Anthem Bronze Select PPO 40/6200/40%,bronze,PPO,"In-Network: $6,200 / Out-of-Network: $12,400","In-Network: $12,400 / Out-of-Network: $24,800","In-Network: $8,700 / Out-of-Network: $17,400","In-Network: $17,400 / Out-of-Network: $34,800",In-Network: 40% / Out-of-Network: 50%,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $40 after deductible / Out-of-Network: 50% after deductible,67940,6200,12400,12400,24800,8700,17400,17400,34800,40,50,0,0,$40 after deductible,50% after deductible,[40.0],[],0,True,[],[50.0],0,True
