plan_id,age,premium_single
40513CA0410012,2,386.570000000
40513CA0410012,1,386.570000000
40513CA0410012,0,386.570000000
40513CA0410012,3,386.570000000
40513CA0410012,4,386.570000000
40513CA0410012,6,386.570000000
40513CA0410012,5,386.570000000
40513CA0410012,9,386.570000000
40513CA0410012,8,386.570000000
40513CA0410012,7,386.570000000
40513CA0410012,13,386.570000000
40513CA0410012,10,386.570000000
40513CA0410012,11,386.570000000
40513CA0410012,12,386.570000000
40513CA0410012,14,386.570000000
40513CA0410012,17,445.010000000
40513CA0410012,16,432.350000000
40513CA0410012,15,419.690000000
40513CA0410012,19,458.290000000
40513CA0410012,18,458.650000000
40513CA0410012,20,472.420000000
40513CA0410012,21,487.030000000
40513CA0410012,22,487.030000000
40513CA0410012,25,488.980000000
40513CA0410012,24,487.030000000
40513CA0410012,23,487.030000000
40513CA0410012,28,529.400000000
40513CA0410012,26,498.720000000
40513CA0410012,27,510.410000000
40513CA0410012,29,544.990000000
40513CA0410012,31,564.470000000
40513CA0410012,30,552.780000000
40513CA0410012,35,595.150000000
40513CA0410012,32,576.160000000
40513CA0410012,34,591.250000000
40513CA0410012,33,583.460000000
40513CA0410012,38,606.840000000
40513CA0410012,36,599.050000000
40513CA0410012,39,614.630000000
40513CA0410012,37,602.940000000
40513CA0410012,42,645.310000000
40513CA0410012,43,660.900000000
40513CA0410012,41,634.110000000
40513CA0410012,40,622.420000000
40513CA0410012,46,730.540000000
40513CA0410012,44,680.380000000
40513CA0410012,45,703.270000000
40513CA0410012,47,761.230000000
40513CA0410012,49,830.870000000
40513CA0410012,48,796.290000000
40513CA0410012,53,993.540000000
40513CA0410012,50,869.830000000
40513CA0410012,52,950.680000000
40513CA0410012,51,908.310000000
40513CA0410012,56,1136.240000000
40513CA0410012,55,1086.080000000
40513CA0410012,54,1039.810000000
40513CA0410012,58,1240.950000000
40513CA0410012,60,1321.800000000
40513CA0410012,59,1267.740000000
40513CA0410012,57,1186.890000000
40513CA0410012,62,1399.240000000
40513CA0410012,63,1437.710000000
40513CA0410012,61,1368.550000000
40513CA0410012,64,1461.090000000
40513CA0410012,65,1461.090000000
40513CA0410037,0,404.130000000
40513CA0410037,2,404.130000000
40513CA0410037,3,404.130000000
40513CA0410037,1,404.130000000
40513CA0410037,5,404.130000000
40513CA0410037,4,404.130000000
40513CA0410037,6,404.130000000
40513CA0410037,7,404.130000000
40513CA0410037,10,404.130000000
40513CA0410037,8,404.130000000
40513CA0410037,9,404.130000000
40513CA0410037,11,404.130000000
40513CA0410037,12,404.130000000
40513CA0410037,16,452.070000000
40513CA0410037,13,404.130000000
40513CA0410037,15,438.810000000
40513CA0410037,14,404.130000000
40513CA0410037,19,479.900000000
40513CA0410037,18,479.610000000
40513CA0410037,17,465.330000000
40513CA0410037,20,494.690000000
40513CA0410037,21,509.990000000
40513CA0410037,22,509.990000000
40513CA0410037,25,512.030000000
40513CA0410037,26,522.230000000
40513CA0410037,23,509.990000000
40513CA0410037,24,509.990000000
40513CA0410037,29,570.680000000
40513CA0410037,27,534.470000000
40513CA0410037,28,554.360000000
40513CA0410037,30,578.840000000
40513CA0410037,33,610.970000000
40513CA0410037,34,619.130000000
40513CA0410037,31,591.080000000
40513CA0410037,32,603.320000000
40513CA0410037,37,631.370000000
40513CA0410037,38,635.450000000
40513CA0410037,36,627.290000000
40513CA0410037,35,623.210000000
40513CA0410037,40,651.770000000
40513CA0410037,39,643.610000000
40513CA0410037,41,664.010000000
40513CA0410037,45,736.420000000
40513CA0410037,42,675.740000000
40513CA0410037,44,712.460000000
40513CA0410037,43,692.060000000
40513CA0410037,49,870.040000000
40513CA0410037,47,797.110000000
40513CA0410037,48,833.830000000
40513CA0410037,46,764.980000000
40513CA0410037,50,910.840000000
40513CA0410037,53,1040.380000000
40513CA0410037,52,995.500000000
40513CA0410037,51,951.130000000
40513CA0410037,57,1242.840000000
40513CA0410037,56,1189.810000000
40513CA0410037,55,1137.280000000
40513CA0410037,54,1088.830000000
40513CA0410037,59,1327.500000000
40513CA0410037,62,1465.200000000
40513CA0410037,58,1299.450000000
40513CA0410037,60,1384.110000000
40513CA0410037,61,1433.070000000
40513CA0410037,63,1505.490000000
40513CA0410037,64,1529.970000000
40513CA0410037,65,1529.970000000
40513CA0410043,3,299.190000000
40513CA0410043,1,299.190000000
40513CA0410043,2,299.190000000
40513CA0410043,0,299.190000000
40513CA0410043,6,299.190000000
40513CA0410043,7,299.190000000
40513CA0410043,5,299.190000000
40513CA0410043,4,299.190000000
40513CA0410043,10,299.190000000
40513CA0410043,8,299.190000000
40513CA0410043,11,299.190000000
40513CA0410043,9,299.190000000
40513CA0410043,12,299.190000000
40513CA0410043,15,324.540000000
40513CA0410043,13,299.190000000
40513CA0410043,14,299.190000000
40513CA0410043,17,343.930000000
40513CA0410043,19,350.820000000
40513CA0410043,16,334.230000000
40513CA0410043,18,354.370000000
40513CA0410043,22,372.810000000
40513CA0410043,21,372.810000000
40513CA0410043,20,361.630000000
40513CA0410043,23,372.810000000
40513CA0410043,24,372.810000000
40513CA0410043,26,381.760000000
40513CA0410043,25,374.300000000
40513CA0410043,28,405.250000000
40513CA0410043,27,390.710000000
40513CA0410043,29,417.180000000
40513CA0410043,30,423.140000000
40513CA0410043,32,441.040000000
40513CA0410043,31,432.090000000
40513CA0410043,33,446.630000000
40513CA0410043,35,455.580000000
40513CA0410043,37,461.540000000
40513CA0410043,34,452.590000000
40513CA0410043,36,458.560000000
40513CA0410043,38,464.520000000
40513CA0410043,39,470.490000000
40513CA0410043,40,476.450000000
40513CA0410043,41,485.400000000
40513CA0410043,44,520.820000000
40513CA0410043,45,538.340000000
40513CA0410043,42,493.970000000
40513CA0410043,43,505.900000000
40513CA0410043,47,582.700000000
40513CA0410043,46,559.220000000
40513CA0410043,50,665.840000000
40513CA0410043,48,609.550000000
40513CA0410043,49,636.020000000
40513CA0410043,51,695.290000000
40513CA0410043,52,727.730000000
40513CA0410043,53,760.530000000
40513CA0410043,54,795.950000000
40513CA0410043,56,869.770000000
40513CA0410043,57,908.540000000
40513CA0410043,55,831.370000000
40513CA0410043,59,970.430000000
40513CA0410043,58,949.920000000
40513CA0410043,61,1047.600000000
40513CA0410043,60,1011.810000000
40513CA0410043,63,1100.540000000
40513CA0410043,64,1118.430000000
40513CA0410043,62,1071.090000000
40513CA0410043,65,1118.430000000
40513CA0410045,2,252.600000000
40513CA0410045,0,252.600000000
40513CA0410045,1,252.600000000
40513CA0410045,6,252.600000000
40513CA0410045,3,252.600000000
40513CA0410045,5,252.600000000
40513CA0410045,4,252.600000000
40513CA0410045,10,252.600000000
40513CA0410045,9,252.600000000
40513CA0410045,8,252.600000000
40513CA0410045,7,252.600000000
40513CA0410045,11,252.600000000
40513CA0410045,12,252.600000000
40513CA0410045,13,252.600000000
40513CA0410045,14,252.600000000
40513CA0410045,15,273.810000000
40513CA0410045,16,281.920000000
40513CA0410045,17,290.030000000
40513CA0410045,18,298.760000000
40513CA0410045,20,302.550000000
40513CA0410045,19,293.500000000
40513CA0410045,22,311.910000000
40513CA0410045,21,311.910000000
40513CA0410045,24,311.910000000
40513CA0410045,25,313.150000000
40513CA0410045,23,311.910000000
40513CA0410045,27,326.880000000
40513CA0410045,26,319.390000000
40513CA0410045,29,349.020000000
40513CA0410045,28,339.040000000
40513CA0410045,31,361.500000000
40513CA0410045,30,354.010000000
40513CA0410045,32,368.990000000
40513CA0410045,33,373.660000000
40513CA0410045,34,378.650000000
40513CA0410045,35,381.150000000
40513CA0410045,36,383.640000000
40513CA0410045,37,386.140000000
40513CA0410045,38,388.640000000
40513CA0410045,40,398.620000000
40513CA0410045,39,393.630000000
40513CA0410045,42,413.280000000
40513CA0410045,41,406.100000000
40513CA0410045,44,435.730000000
40513CA0410045,43,423.260000000
40513CA0410045,47,487.510000000
40513CA0410045,45,450.390000000
40513CA0410045,46,467.860000000
40513CA0410045,49,532.110000000
40513CA0410045,48,509.970000000
40513CA0410045,51,581.710000000
40513CA0410045,50,557.060000000
40513CA0410045,53,636.290000000
40513CA0410045,52,608.840000000
40513CA0410045,54,665.920000000
40513CA0410045,55,695.550000000
40513CA0410045,56,727.680000000
40513CA0410045,58,794.740000000
40513CA0410045,57,760.120000000
40513CA0410045,60,846.510000000
40513CA0410045,59,811.890000000
40513CA0410045,61,876.460000000
40513CA0410045,62,896.110000000
40513CA0410045,63,920.750000000
40513CA0410045,65,935.730000000
40513CA0410045,64,935.730000000
40513CA0410050,0,299.510000000
40513CA0410050,2,299.510000000
40513CA0410050,3,299.510000000
40513CA0410050,4,299.510000000
40513CA0410050,1,299.510000000
40513CA0410050,7,299.510000000
40513CA0410050,6,299.510000000
40513CA0410050,8,299.510000000
40513CA0410050,5,299.510000000
40513CA0410050,10,299.510000000
40513CA0410050,9,299.510000000
40513CA0410050,12,299.510000000
40513CA0410050,11,299.510000000
40513CA0410050,14,299.510000000
40513CA0410050,13,299.510000000
40513CA0410050,17,344.290000000
40513CA0410050,18,354.740000000
40513CA0410050,19,351.200000000
40513CA0410050,16,334.590000000
40513CA0410050,15,324.890000000
40513CA0410050,20,362.030000000
40513CA0410050,23,373.220000000
40513CA0410050,21,373.220000000
40513CA0410050,22,373.220000000
40513CA0410050,26,382.180000000
40513CA0410050,25,374.720000000
40513CA0410050,24,373.220000000
40513CA0410050,27,391.140000000
40513CA0410050,30,423.610000000
40513CA0410050,29,417.640000000
40513CA0410050,28,405.690000000
40513CA0410050,31,432.570000000
40513CA0410050,33,447.120000000
40513CA0410050,32,441.520000000
40513CA0410050,34,453.090000000
40513CA0410050,37,462.050000000
40513CA0410050,35,456.080000000
40513CA0410050,36,459.070000000
40513CA0410050,38,465.040000000
40513CA0410050,40,476.980000000
40513CA0410050,39,471.010000000
40513CA0410050,41,485.940000000
40513CA0410050,42,494.520000000
40513CA0410050,45,538.940000000
40513CA0410050,43,506.470000000
40513CA0410050,44,521.390000000
40513CA0410050,49,636.720000000
40513CA0410050,47,583.350000000
40513CA0410050,46,559.840000000
40513CA0410050,48,610.220000000
40513CA0410050,51,696.060000000
40513CA0410050,52,728.530000000
40513CA0410050,50,666.580000000
40513CA0410050,53,761.380000000
40513CA0410050,57,909.550000000
40513CA0410050,56,870.730000000
40513CA0410050,54,796.830000000
40513CA0410050,55,832.290000000
40513CA0410050,60,1012.930000000
40513CA0410050,59,971.500000000
40513CA0410050,61,1048.760000000
40513CA0410050,58,950.970000000
40513CA0410050,63,1101.760000000
40513CA0410050,62,1072.270000000
40513CA0410050,65,1119.660000000
40513CA0410050,64,1119.660000000
40513CA0410052,1,377.400000000
40513CA0410052,0,377.400000000
40513CA0410052,3,377.400000000
40513CA0410052,5,377.400000000
40513CA0410052,4,377.400000000
40513CA0410052,2,377.400000000
40513CA0410052,7,377.400000000
40513CA0410052,6,377.400000000
40513CA0410052,8,377.400000000
40513CA0410052,12,377.400000000
40513CA0410052,9,377.400000000
40513CA0410052,11,377.400000000
40513CA0410052,10,377.400000000
40513CA0410052,13,377.400000000
40513CA0410052,15,409.700000000
40513CA0410052,14,377.400000000
40513CA0410052,16,422.050000000
40513CA0410052,18,447.700000000
40513CA0410052,20,460.790000000
40513CA0410052,17,434.400000000
40513CA0410052,19,447.020000000
40513CA0410052,21,475.040000000
40513CA0410052,22,475.040000000
40513CA0410052,23,475.040000000
40513CA0410052,24,475.040000000
40513CA0410052,27,497.840000000
40513CA0410052,25,476.940000000
40513CA0410052,26,486.440000000
40513CA0410052,29,531.570000000
40513CA0410052,31,550.570000000
40513CA0410052,30,539.170000000
40513CA0410052,28,516.370000000
40513CA0410052,33,569.100000000
40513CA0410052,32,561.980000000
40513CA0410052,34,576.700000000
40513CA0410052,37,588.100000000
40513CA0410052,38,591.900000000
40513CA0410052,36,584.300000000
40513CA0410052,35,580.500000000
40513CA0410052,42,629.430000000
40513CA0410052,41,618.510000000
40513CA0410052,39,599.500000000
40513CA0410052,40,607.100000000
40513CA0410052,45,685.960000000
40513CA0410052,44,663.630000000
40513CA0410052,43,644.630000000
40513CA0410052,46,712.560000000
40513CA0410052,48,776.700000000
40513CA0410052,50,848.430000000
40513CA0410052,47,742.490000000
40513CA0410052,49,810.420000000
40513CA0410052,52,927.280000000
40513CA0410052,51,885.960000000
40513CA0410052,54,1014.220000000
40513CA0410052,55,1059.350000000
40513CA0410052,53,969.090000000
40513CA0410052,56,1108.280000000
40513CA0410052,57,1157.680000000
40513CA0410052,59,1236.540000000
40513CA0410052,58,1210.410000000
40513CA0410052,60,1289.270000000
40513CA0410052,61,1334.870000000
40513CA0410052,64,1425.120000000
40513CA0410052,63,1402.330000000
40513CA0410052,65,1425.120000000
40513CA0410052,62,1364.800000000
40513CA0410053,0,329.160000000
40513CA0410053,2,329.160000000
40513CA0410053,1,329.160000000
40513CA0410053,5,329.160000000
40513CA0410053,3,329.160000000
40513CA0410053,4,329.160000000
40513CA0410053,6,329.160000000
40513CA0410053,8,329.160000000
40513CA0410053,10,329.160000000
40513CA0410053,9,329.160000000
40513CA0410053,7,329.160000000
40513CA0410053,11,329.160000000
40513CA0410053,12,329.160000000
40513CA0410053,14,329.160000000
40513CA0410053,13,329.160000000
40513CA0410053,18,390.130000000
40513CA0410053,17,378.600000000
40513CA0410053,16,367.890000000
40513CA0410053,15,357.180000000
40513CA0410053,19,387.680000000
40513CA0410053,21,411.990000000
40513CA0410053,20,399.630000000
40513CA0410053,23,411.990000000
40513CA0410053,22,411.990000000
40513CA0410053,24,411.990000000
40513CA0410053,27,431.760000000
40513CA0410053,26,421.880000000
40513CA0410053,25,413.640000000
40513CA0410053,31,477.490000000
40513CA0410053,32,487.380000000
40513CA0410053,28,447.830000000
40513CA0410053,30,467.610000000
40513CA0410053,29,461.010000000
40513CA0410053,34,500.150000000
40513CA0410053,36,506.740000000
40513CA0410053,35,503.450000000
40513CA0410053,33,493.560000000
40513CA0410053,40,526.520000000
40513CA0410053,37,510.040000000
40513CA0410053,38,513.340000000
40513CA0410053,39,519.930000000
40513CA0410053,43,559.070000000
40513CA0410053,42,545.880000000
40513CA0410053,41,536.410000000
40513CA0410053,44,575.550000000
40513CA0410053,47,643.940000000
40513CA0410053,45,594.910000000
40513CA0410053,46,617.980000000
40513CA0410053,49,702.850000000
40513CA0410053,48,673.600000000
40513CA0410053,50,735.810000000
40513CA0410053,52,804.200000000
40513CA0410053,51,768.360000000
40513CA0410053,54,879.590000000
40513CA0410053,55,918.730000000
40513CA0410053,53,840.450000000
40513CA0410053,56,961.170000000
40513CA0410053,58,1049.740000000
40513CA0410053,60,1118.130000000
40513CA0410053,59,1072.400000000
40513CA0410053,57,1004.010000000
40513CA0410053,63,1216.190000000
40513CA0410053,61,1157.690000000
40513CA0410053,64,1235.970000000
40513CA0410053,62,1183.640000000
40513CA0410053,65,1235.970000000
40513CA0410058,1,293.700000000
40513CA0410058,0,293.700000000
40513CA0410058,3,293.700000000
40513CA0410058,2,293.700000000
40513CA0410058,4,293.700000000
40513CA0410058,9,293.700000000
40513CA0410058,7,293.700000000
40513CA0410058,8,293.700000000
40513CA0410058,6,293.700000000
40513CA0410058,5,293.700000000
40513CA0410058,13,293.700000000
40513CA0410058,11,293.700000000
40513CA0410058,10,293.700000000
40513CA0410058,12,293.700000000
40513CA0410058,14,293.700000000
40513CA0410058,17,337.580000000
40513CA0410058,15,318.560000000
40513CA0410058,16,328.070000000
40513CA0410058,20,354.670000000
40513CA0410058,21,365.640000000
40513CA0410058,18,347.810000000
40513CA0410058,19,344.060000000
40513CA0410058,23,365.640000000
40513CA0410058,22,365.640000000
40513CA0410058,24,365.640000000
40513CA0410058,26,374.410000000
40513CA0410058,27,383.190000000
40513CA0410058,25,367.100000000
40513CA0410058,30,415.000000000
40513CA0410058,29,409.150000000
40513CA0410058,28,397.450000000
40513CA0410058,34,443.880000000
40513CA0410058,31,423.770000000
40513CA0410058,33,438.030000000
40513CA0410058,35,446.810000000
40513CA0410058,32,432.550000000
40513CA0410058,39,461.430000000
40513CA0410058,38,455.580000000
40513CA0410058,37,452.660000000
40513CA0410058,36,449.730000000
40513CA0410058,43,496.170000000
40513CA0410058,40,467.280000000
40513CA0410058,42,484.470000000
40513CA0410058,41,476.060000000
40513CA0410058,45,527.980000000
40513CA0410058,46,548.450000000
40513CA0410058,47,571.490000000
40513CA0410058,44,510.790000000
40513CA0410058,49,623.770000000
40513CA0410058,50,653.020000000
40513CA0410058,48,597.810000000
40513CA0410058,51,681.910000000
40513CA0410058,55,815.370000000
40513CA0410058,54,780.630000000
40513CA0410058,52,713.720000000
40513CA0410058,53,745.900000000
40513CA0410058,56,853.030000000
40513CA0410058,57,891.050000000
40513CA0410058,60,992.330000000
40513CA0410058,58,931.640000000
40513CA0410058,59,951.750000000
40513CA0410058,61,1027.430000000
40513CA0410058,63,1079.350000000
